Cluster,Component Label,Summarized by Tools,"Most Common Verbs, Nouns Adjectives"
PROC0096,Create service object to work with array and assign parameters index value on it,"Create current array. it performs actions like create, find, and get; focused on entities such as array, byte, element, entity, file, index, instance, list, message, method, number, point, property, request, response, return, service, string, type, user, and value; characterized as current, key, new, object, read, true.",array byte create current element entity file find get index instance key list message method new number object point property read request response return service string true type user value
PROC0097,Equality comparison with OR logic,"Compare current address. it performs actions like , and compare; focused on entities such as address, check, clip, code, column, date, device, display, entity, input, instance, number, object, page, permission, plane, property, return, server, time, type, user, value, and version; characterized as current, equal, false, great, true.",address check clip code column compare current date device display entity equal false great input instance number object page permission plane property return server time true type user value version
PROC0098,High-Level Label: Application-Level Object Initialization and Configuration,"Exist current check. it performs actions like exist, find, get, and give; focused on entities such as check, connection, context, convert, create, datum, endpoint, file, group, instance, item, list, message, object, parameter, path, property, request, return, set, string, type, user, and value; characterized as current, new.",check connection context convert create current datum endpoint exist file find get give group instance item list message new object parameter path property request return set string type user value
PROC0099,"Read item from array, list, collection or hashtable","Create current array. it performs actions like create, and get; focused on entities such as array, byte, convert, datum, element, file, hash, input, item, line, list, node, number, object, pop, read, return, source, stack, stream, string, type, and value; characterized as current, guid, key, new, token.",array byte convert create current datum element file get guid hash input item key line list new node number object pop read return source stack stream string token type value
PROC0100,Show Message,"Add current append. it performs actions like add, call, and find; focused on entities such as append, builder, console, create, error, file, function, information, line, load, log, message, method, number, offer, parameter, print, result, string, trace, user, and warning; characterized as current, debug, delete, new, write.",add append builder call console create current debug delete error file find function information line load log message method new number offer parameter print result string trace user warning write
PROC0101,Return new data object,"Call current action. it performs actions like call, create, read, throw, and update; focused on entities such as action, bit, class, device, file, function, instance, integer, item, list, matrix, method, model, object, return, set, stream, string, type, and value; characterized as current, key, new, token, true.",action bit call class create current device file function instance integer item key list matrix method model new object read return set stream string throw token true type update value
PROC0102,Construct string,"Add current append. it performs actions like add, assert, create, and give; focused on entities such as append, array, buffer, check, column, error, file, list, log, message, method, number, object, query, request, result, return, set, string, text, type, and value; characterized as current, equal, new, true.",add append array assert buffer check column create current equal error file give list log message method new number object query request result return set string text true type value
PROC0103,Format string,"Generate current bit. it performs actions like generate, and read; focused on entities such as bit, buffer, byte, code, console, content, file, index, input, integer, item, line, list, message, number, object, path, representation, return, size, stack, stream, string, text, and value; characterized as current, key.",bit buffer byte code console content current file generate index input integer item key length line list message number object path read representation return size stack stream string text value
PROC0104,Enable or disable feature on user-interface component,"Add current button. it performs actions like add, and remove; focused on entities such as button, check, file, flag, hide, item, list, mark, message, object, property, reset, result, return, state, string, text, type, and value; characterized as current, enable, false, new, node, null, set, true.",add button check current disable enable false file flag hide item list mark message new node null object property remove reset result return set state string text true type value
PROC0105,Comprehensive System-Level Application Logic,"Give create add. it performs actions like , and give; focused on entities such as add, append, array, attribute, bit, check, datum, item, label, list, message, object, parameter, query, representation, return, set, string, test, type, and value; characterized as create, current, equal, new, repository, select, statistical, true.",add append array attribute bit check create current datum equal give item label list message new object parameter query repository representation return select set statistical string test true type value
PROC0106,Declare and initialize list and array variable,"Create current completion. it performs actions like create, and get; focused on entities such as completion, file, header, index, instance, list, map, name, node, number, object, pair, parameter, project, property, return, set, source, string, task, taskcompletionsource, type, and value; characterized as current, dictionary, key, mock, new.",completion create current dictionary file get header index instance key list map mock name new node number object pair parameter project property return set source string task taskcompletionsource type value
PROC0107,Application Framework Utility and Infrastructure Operations,"Add diagnostic argument. it performs actions like add, call, create, and give; focused on entities such as argument, bit, check, element, exception, file, instance, list, location, message, method, object, pin, range, return, set, stream, throw, update, and value; characterized as diagnostic, new, null, select, true, write.",add argument bit call check create diagnostic element exception file give instance list location message method new null object pin range return select set stream throw true update value write
PROC0108,Variable Initialization and Object Construction in Application Logic,"Create current code. it performs actions like , and create; focused on entities such as code, codedwithexception, datum, default, file, image, index, initialize, instance, item, line, list, location, object, parse, path, position, property, request, result, return, string, time, type, and value; characterized as current, new, set, true.",code codedwithexception create current datum default file image index initialize instance item line list location new object parse path position property request result return set string time true type value
PROC0109,Application Infrastructure and Exception Handling Utilities,"Add create action. it performs actions like add, give, and reverse; focused on entities such as action, asm, byte, class, element, exception, file, initialize, instance, invalidoperationexception, list, method, object, order, return, set, skill, string, target, test, throw, type, value, and weapon; characterized as create, new.",action add asm asynchronously byte class create element exception file give initialize instance invalidoperationexception list method new object order return reverse set skill string target test throw type value weapon
PROC0110,Declare variable with anonymouse type,"Create current array. it performs actions like create, and get; focused on entities such as array, call, class, datum, default, element, file, function, index, instance, item, line, list, node, number, object, position, property, return, set, source, string, text, type, and value; characterized as current, new, start.",array call class create current datum default element file function get index instance item line list new node number object position property return set source start string text type value
PROC0111,General-Purpose Application Logic and Data Manipulation,"Create current array. it performs actions like create, get, and give; focused on entities such as array, buffer, datum, file, function, index, instance, item, length, list, method, number, object, parameter, read, request, return, string, template, type, update, user, and value; characterized as current, key, new, true.",array buffer create current datum file function get give index instance item key length list method new number object parameter read request return string template true type update user value
PROC0112,Backend Utilities and Data Services,"Add current check. it performs actions like add, call, and send; focused on entities such as check, command, entry, error, file, header, list, log, message, method, object, parameter, property, request, return, string, task, type, and value; characterized as current, new, null, set, start, true, write.",add asynchronously call check command current entry error file header list log message method new null object parameter property request return send set start string task true type value write
PROC0113,General Application Logic and Infrastructure Utilities,"Add current array. it performs actions like add, create, give, and throw; focused on entities such as array, byte, element, event, exception, index, item, list, method, object, point, property, queue, remove, result, return, set, string, text, type, and value; characterized as current, false, new, null, true.",add array byte create current element event exception false give index item list method new null object point property queue remove result return set string text throw true type value
PROC0114,Data Processing and System-Oriented Control Flow,"Call new add. it performs actions like call, create, and give; focused on entities such as add, byte, check, clause, collection, date, element, instance, item, ldloc, list, method, object, query, return, set, size, stloc, value, wait, and xsize; characterized as new, second, select, setenddate, true.",add byte call check clause collection create date element give instance item ldloc list method new object query return second select set setenddate setstartdate size stloc true value wait xsize
PROC0115,Construct string to a document file,"Construct current block. it performs actions like construct, create, and get; focused on entities such as block, builder, constructor, document, file, input, instance, item, key, list, message, node, object, process, read, request, return, stream, string, stringbuilder, stringwriter, value, vector, and xmldocument; characterized as current, generate, new.",block builder construct constructor create current document file generate get input instance item key list message new node object process read request return stream string stringbuilder stringwriter value vector xmldocument
PROC0116,Setup function to handle an event as a result from a function call throuw API or Database,"Add current check. it performs actions like add, call, create, give, and throw; focused on entities such as check, element, event, file, instance, list, message, method, modify, object, property, request, return, stream, string, type, update, and value; characterized as current, new, null, set, true, write.",add asynchronously call check create current element event file give instance list message method modify new null object property request return set stream string throw true type update value write
PROC0117,Perform LINQ search on a list,"Contain currentprogramrole array. it performs actions like contain, create, give, and include; focused on entities such as array, clause, field, file, filter, find, group, item, list, method, object, order, parameter, property, query, queryset, resource, return, set, start, type, and user; characterized as currentprogramrole, key, new, select.",array clause contain create currentprogramrole field file filter find give group include item key list method new object order parameter property query queryset resource return select set start type user
PROC0118,Asynchronous Service-Oriented Application Logic and Infrastructure Integration,"Call current add. it performs actions like call, create, and give; focused on entities such as add, change, check, element, file, instance, item, list, message, method, object, property, request, return, set, string, throw, type, update, and value; characterized as current, new, null, select, true, write.",add asynchronously call change check create current element file give instance item list message method new null object property request return select set string throw true type update value write
PROC0119,Declare list variable and assigne default empty list,"Call key array. it performs actions like call, and create; focused on entities such as array, byte, collection, database, error, file, ids, index, instance, int, integer, list, message, method, name, object, pair, path, result, return, set, string, type, and value; characterized as key, new, null, true.",array byte call collection create database error file ids index instance int integer key list message method name new null object pair path result return set string true type value
PROC0120,Assign variable with object function,"Create calculate code. it performs actions like create, get, and read; focused on entities such as code, codedwithexception, constructor, file, initialize, instance, list, object, path, position, property, request, result, return, server, service, set, source, status, string, time, type, unit, and value; characterized as calculate, current, new.",calculate code codedwithexception constructor create current file get initialize instance list new object path position property read request result return server service set source status string time type unit value
PROC0121,Diverse Object Instantiation and Initialization in Application Logic,"Get current array. it performs actions like get, give, and read; focused on entities such as array, byte, create, element, field, file, index, instance, item, length, line, list, number, object, path, property, request, return, string, type, and value; characterized as current, key, new, set, split, true.",array byte create current element field file get give index instance item key length line list new number object path property read request return set split string true type value
PROC0122,Variable declaration and assignment through a function call,"Create convert array. it performs actions like create, and get; focused on entities such as array, command, context, datum, entity, file, instance, item, list, message, number, object, property, read, request, result, return, row, state, stream, string, type, user, and value; characterized as convert, current, method, new.",array command context convert create current datum entity file get instance item list message method new number object property read request result return row state stream string type user value
PROC0123,Predefined type with array rank specification and initialization,"Create current array. it performs actions like create, and get; focused on entities such as array, byte, command, datum, directory, element, field, file, item, line, list, method, object, parameter, path, point, property, read, return, set, string, type, and value; characterized as current, key, new, split.",array byte command create current datum directory element field file generate get item key line list method new object parameter path point property read return set split string type value
PROC0124,Simple numerical expression and statement,"Add current case. it performs actions like add, call, create, and give; focused on entities such as case, class, default, element, function, increment, instance, item, list, lock, method, number, object, return, set, string, type, and value; characterized as current, equal, false, iterate, new, null, special, true.",add call case class create current default element equal false function give increment instance item iterate list lock method new null number object return set special string true type value
PROC0125,Find invalid api,"Find invalid api. it performs actions like find, ignore, support, throw, and try; focused on entities such as api, application, catch, client, error, file, formatexception, handle, invocation, ioexception, log, memory, method, operation, request, return, runtime, server, socket, target, and timeout; characterized as invalid, key, null.",api application catch client error exception file find formatexception handle ignore invalid invocation ioexception key log memory method null operation request return runtime server socket support target throw timeout try
PROC0126,Create container and add initialized item into it,"Add create container. it performs actions like add, and assert; focused on entities such as container, context, exception, file, list, log, message, method, object, property, register, request, result, return, service, string, throw, token, and value; characterized as create, iterate, new, null, publicrequ, set, transient, true, write.",add assert container context create exception file iterate list log message method new null object property publicrequ register request result return service set string throw token transient true value write
PROC0127,"Create and convert array, stream, hash","Create convert array. it performs actions like , and create; focused on entities such as array, buffer, builder, content, datum, dispose, element, file, hash, instance, item, line, list, message, object, read, representation, result, return, stream, string, type, and value; characterized as convert, current, new, null, set, true.",array buffer builder content convert create current datum dispose element file hash instance item line list message new null object read representation result return set stream string true type value
PROC0128,Application logic and runtime operations,"Add current append. it performs actions like add, call, create, and give; focused on entities such as append, check, end, exception, file, instance, line, list, log, message, method, result, return, set, string, term, throw, type, and value; characterized as current, new, node, object, select, true, write.",add append call check create current end exception file give instance line list log message method new node object result return select set string term throw true type value write
PROC0129,Intialized user-interface components,"Cancel add box. it performs actions like cancel, click, and create; focused on entities such as box, button, default, display, exit, field, form, group, initialize, label, list, message, method, object, panel, picture, screen, send, set, system, text, textbox, url, user, and window; characterized as add, new.",add box button cancel click create default display exit field form group initialize label list message method new object panel picture screen send set system text textbox url user window
PROC0130,Throw argument exception with additional error message,"Add great argument. it performs actions like add, contain, create, give, miss, set, and specify; focused on entities such as argument, array, character, date, exception, file, number, object, parameter, path, property, size, start, stream, string, throw, type, and value; characterized as great, invalid, key, null.",add argument array character contain create date exception file give great invalid key length miss null number object parameter path property set size specify start stream string throw type value
PROC0131,"Debug, assert and write logs","Add current assert. it performs actions like , and add; focused on entities such as assert, call, check, error, file, item, line, list, log, message, method, number, object, point, position, property, result, return, set, string, table, update, and value; characterized as current, equal, new, null, true, write.",add assert call check current equal error file item line list log message method new null number object point position property result return set string table true update value write
PROC0132,Safe JSON Convertion and Deserialization,"Add current assert. it performs actions like add, call, create, fail, find, and write; focused on entities such as assert, check, content, deserialize, error, file, list, log, message, method, number, object, page, print, reply, request, response, set, type, user, value, and warning; characterized as current.",add assert call check content create current deserialize error exception fail file find list log message method number object page print reply request response set type user value warning write
PROC0133,Create new compoundlayoutcontext,"Create new compoundlayoutcontext. it performs actions like , and create; focused on entities such as , and compoundlayoutcontext; characterized as new.",compoundlayoutcontext create new
PROC0134,Configure tab index for user-interface form,"Call default bar. it performs actions like call, click, and reset; focused on entities such as bar, box, button, column, count, file, fillweight, header, height, index, label, list, method, panel, progress, property, row, set, tab, tabindex, table, text, user, value, and width; characterized as default, select.",bar box button call click column count default file fillweight header height index label list method panel progress property reset row select set tab tabindex table text user value width
PROC0135,Initialized function as input parameters,"Call dictionary action. it performs actions like call, create, get, and give; focused on entities such as action, check, collection, datum, descriptor, function, instance, list, method, node, object, result, return, selector, set, source, string, symbol, task, type, and value; characterized as dictionary, key, new, null, true.",action call check collection create datum descriptor dictionary function get give instance key list method new node null object result return selector set source string symbol task true type value
PROC0136,Diverse Object Initialization and Data Retrieval in Application Contexts,"Create current buffer. it performs actions like create, get, give, and read; focused on entities such as buffer, datum, element, file, function, instance, item, line, list, message, object, point, position, repository, request, return, string, text, time, type, value, and width; characterized as current, key, new, node.",buffer create current datum element file function get give instance item key line list message new node object point position read repository request return string text time type value width
PROC0137,Save data to database,"Retrieve delete account. it performs actions like retrieve, and specify; focused on entities such as account, create, database, gateway, group, instance, link, list, machine, network, nextlink, object, policy, request, resource, rule, set, subscription, table, tag, throughput, and update; characterized as delete, getrequest, listnextpagerequ, new, specified, virtual.",account create database delete gateway getrequest group instance link list listnextpagerequ machine network new nextlink object policy request resource retrieve rule set specified specify subscription table tag throughput update virtual
PROC0138,Get content array,"Get content array. it performs actions like get, and give; focused on entities such as array, attribute, database, datum, directory, element, field, file, instance, list, message, method, path, request, response, return, string, type, update, user, and value; characterized as content, create, current, new, object, read, token.",array attribute content create current database datum directory element field file get give instance list message method new object path read request response return string token type update user value
PROC0139,Create current context,"Create current context. it performs actions like create, get, give, and set; focused on entities such as context, datum, file, instance, item, line, list, method, node, number, object, operation, parameter, point, position, property, read, request, response, return, service, string, type, and value; characterized as current, new.",context create current datum file get give instance item line list method new node number object operation parameter point position property read request response return service set string type value
PROC0140,Unit of measurement convertion,"Add create call. it performs actions like add, and give; focused on entities such as call, check, convert, datum, event, file, handler, instance, item, list, message, parse, read, response, result, return, set, stream, string, type, and value; characterized as create, current, new, node, object, true, write.",add call check convert create current datum event file give handler instance item list message new node object parse read response result return set stream string true type value write
PROC0141,Prepare delegated custom event handlers to change user-interface theme,"Add base color. it performs actions like add, call, create, and give; focused on entities such as color, connection, file, item, method, name, number, object, offset, parameter, position, property, read, request, response, return, server, set, token, type, user, and value; characterized as base, current, new, true.",add base call color connection create current file give item method name new number object offset parameter position property read request response return server set token true type user value
PROC0142,Enable false attribute,"Enable false attribute. it performs actions like enable, and get; focused on entities such as attribute, check, date, evaluation, field, group, instance, list, message, node, object, policy, property, resource, return, set, status, time, type, user, value, and version; characterized as false, non, null, remote, true, valid.",attribute check date enable evaluation false field get group instance list message node non null object policy property remote resource return set status time true type user valid value version
PROC0143,"User interaction, serialization, math/statistics, threading/locking, and graphical rendering","Add new convert. it performs actions like add, call, create, give, and write; focused on entities such as convert, datum, element, exception, file, instance, item, list, message, method, object, property, request, return, set, stream, string, throw, type, update, user, and value; characterized as new, true.",add asynchronously call convert create datum element exception file give instance item list message method new object property request return set stream string throw true type update user value write
PROC0144,Bit and numerical convertion,"Add convert address. it performs actions like add, create, and get; focused on entities such as address, array, byte, command, date, element, end, expiration, field, file, filter, index, instance, list, message, number, object, property, result, return, set, string, time, and value; characterized as convert, current, new.",add address array byte command convert create current date element end expiration field file filter get index instance list message new number object property result return set string time value
PROC0145,"Key box performs actions like add, call, declare, and send.","Add key box. it performs actions like add, call, declare, and send; focused on entities such as box, button, change, class, constructor, database, display, error, item, log, menu, message, method, partition, peer, property, remove, service, set, text, toolstrip, transaction, and user; characterized as key, true.",add asynchronously box button call change class constructor database declare display error item key log menu message method partition peer property remove send service set text toolstrip transaction true user
PROC0146,Throw authorization failed exception,"Add create account. it performs actions like add, give, and miss; focused on entities such as account, authorization, document, exception, flow, label, list, member, method, model, moid, order, organization, patch, policy, post, profile, role, task, throw, update, and user; characterized as create, delete, hyperflex, invoice, new.",account add authorization create delete document exception flow give hyperflex invoice label list member method miss model moid new order organization patch policy post profile role task throw update user
PROC0147,Format string,"Calculate foobar body. it performs actions like calculate, contain, create, and log; focused on entities such as body, configuration, constructor, cost, datum, endpoint, format, function, healthz, html, info, json, list, movement, node, page, representation, return, string, table, tenant, test, url, and user; characterized as foobar, new.",body calculate configuration constructor contain cost create datum endpoint foobar format function healthz html info json list log movement new node page representation return string table tenant test url user
PROC0148,"Performs operations related to accessing, modifying, interpreting, or generating application data, components, and configurations","Get current add. it performs actions like get, initialize, and read; focused on entities such as add, attribute, buffer, create, default, field, file, instance, item, list, message, object, position, request, response, result, return, source, stream, string, text, trie, type, and value; characterized as current, new, set.",add attribute buffer create current default field file get initialize instance item list message new object position read request response result return set source stream string text trie type value
PROC0149,Predefined Nullable Type and Literal Expression into variable,"Add current append. it performs actions like add, create, and give; focused on entities such as append, array, bit, byte, datum, default, increment, index, item, list, message, method, number, object, parse, result, return, set, string, type, and value; characterized as current, false, key, new, null, true.",add append array bit byte create current datum default false give increment index item key list message method new null number object parse result return set string true type value
PROC0150,Compare and assert equality,"Compare equal assert. it performs actions like compare, execute, and find; focused on entities such as assert, bbbcccvvv, buffer, check, copy, count, employee, item, number, property, puzzle, quad, queue, result, return, sample, set, size, test, tree, and value; characterized as equal, expiry, long, second.",assert bbbcccvvv buffer check compare copy count employee equal execute expiry find item length long number property puzzle quad queue result return sample second set size test tree value verify
PROC0151,Log the message from the thrown application exception,"Add current change. it performs actions like add, assert, call, fail, and give; focused on entities such as change, create, datum, error, file, instance, list, log, margin, message, method, object, order, province, return, set, table, throw, type, and value; characterized as current, new, true, write.",add assert call change create current datum error exception fail file give instance list log margin message method new object order province return set table throw true type value write
PROC0152,Enable or disable user-interface settings,"Call enable auto. it performs actions like call, click, declare, define, and hide; focused on entities such as auto, autosize, box, button, cancel, class, constructor, flag, format, label, list, menu, method, multiline, panel, property, set, size, tabstop, text, and user; characterized as enable, false, true.",auto autosize box button call cancel class click constructor declare define disable enable false flag format hide label list menu method multiline panel property set size tabstop text true user
PROC0153,Configure tab index for user-interface form,"Close main add. it performs actions like , and close; focused on entities such as add, bar, box, button, cancel, column, default, exit, image, index, label, list, login, message, output, panel, remove, reset, send, set, status, tab, tabindex, text, title, update, and user; characterized as main, second.",add bar box button cancel close column default exit image index label list login main message output panel remove reset second send set status tab tabindex text title update user
PROC0154,Proceed process code with exception and message,"Create current array. it performs actions like create, and read; focused on entities such as array, character, code, codedwithexception, datum, file, index, initialize, instance, list, number, object, path, position, property, result, return, set, start, status, stream, string, text, type, user, and value; characterized as current, new.",array character code codedwithexception create current datum file index initialize instance list new number object path position property read result return set start status stream string text type user value
PROC0155,Initialized data configuration object',"Get current builder. it performs actions like , and get; focused on entities such as builder, connection, constructor, create, database, default, dialog, document, element, file, handler, initialize, instance, list, method, object, option, path, request, result, return, set, string, table, type, and xml; characterized as current, new, random.",builder connection constructor create current database default dialog document element file get handler initialize instance list method new object option path random request result return set string table type xml
PROC0156,List element access and numeric value assignment,"Add create array. it performs actions like add, and give; focused on entities such as array, axis, check, code, description, element, function, group, hash, index, list, object, page, position, result, return, string, type, and value; characterized as create, current, false, key, light, new, null, set, true.",add array axis check code create current description element false function give group hash index key light list new null object page position result return set string true type value
PROC0157,JSON Serialization,"Create current byte. it performs actions like create, and get; focused on entities such as byte, datum, file, height, image, index, item, line, list, message, number, object, path, position, read, return, size, stream, string, type, user, and value; characterized as current, key, new, random, true.",byte create current datum file get height image index item key length line list message new number object path position random read return size stream string true type user value
PROC0158,Initialized type argument list into a variable ,"Get current async. it performs actions like get, and give; focused on entities such as async, block, chain, collection, create, deserialize, file, header, item, list, message, method, object, property, read, result, return, task, type, update, user, and value; characterized as current, dictionary, key, new, set.",async asynchronously block chain collection create current deserialize dictionary file get give header item key list message method new object property read result return set task type update user value
PROC0159,Simple variable assigment through a function invocation into a string,"Get current code. it performs actions like get, and read; focused on entities such as code, codedwithexception, create, datum, default, field, file, index, initialize, instance, item, list, message, object, path, position, property, result, return, set, start, status, stream, string, type, and value; characterized as current, new.",code codedwithexception create current datum default field file get index initialize instance item list message new object path position property read result return set start status stream string type value
PROC0160,Business rule enforcement and exception handling,"Add current celsius. it performs actions like add, create, give, and write; focused on entities such as celsius, check, exception, file, filter, gas, input, list, object, parameter, project, rankine, return, set, stream, target, throw, type, and user; characterized as current, fahrenheit, new, rankinedouble, select, true.",add celsius check create current exception fahrenheit fahrenheitfloat file filter gas give input list new object parameter project rankine rankinedouble return select set stream target throw true type user write
PROC0161,Initiatialized user-interface component on load event handler ,"Add main application. it performs actions like add, call, fire, open, register, and trigger; focused on entities such as application, dialog, event, file, form, framebuffer, handler, listener, load, login, method, report, setting, splash, system, text, user, video, view, widget, and window; characterized as main, ready.",add application call dialog event eventhandler file fire form framebuffer handler listener load login main method open ready register report setting splash system text trigger user video view widget window
PROC0162,Element access then assigne with numerical expression and/or increament,"Create current add. it performs actions like create, give, and throw; focused on entities such as add, byte, case, catch, counter, default, element, exception, handle, increment, index, list, number, object, return, set, size, string, type, and value; characterized as current, false, key, new, null, true, unsafe.",add byte case catch counter create current default element exception false give handle increment index key list new null number object return set size string throw true type unsafe value
PROC0163,Configure colors of user-interface elements in a component,"Create current add. it performs actions like create, and throw; focused on entities such as add, color, column, draw, expression, function, list, location, log, message, method, object, parameter, request, return, string, system, task, text, type, and value; characterized as current, invalid, maximum, new, set, start, true.",add color column create current draw expression function invalid list location log maximum message method new object parameter request return set start string system task text throw true type value
PROC0164,"System-Level Program Analysis and Transformation Utilities include LLVM optimization passes, application configuration, reflection, diagnostics, validation, exception handling, control manipulation.","Call current add. it performs actions like call, create, give, and set; focused on entities such as add, array, datum, error, file, instance, instruction, item, line, list, log, message, method, object, property, return, string, throw, type, and value; characterized as current, new, select, true, write.",add array call create current datum error exception file give instance instruction item line list log message method new object property return select set string throw true type value write
PROC0165,Assign variable from the result of OR comparison logic,"Call base add. it performs actions like call, get, and give; focused on entities such as add, check, file, image, index, input, item, list, method, number, object, property, result, return, set, state, type, user, and value; characterized as base, current, equal, false, great, key, new, true.",add base call check current equal false file get give great image index input item key list method new number object property result return set state true type user value
PROC0166,User-interface validation and assertion,"Create new add. it performs actions like , and create; focused on entities such as add, append, assert, check, deserialize, error, file, item, line, list, localvarresponse, log, method, object, parameter, response, return, string, throw, type, update, and value; characterized as new, null, set, true, write.",add append assert asynchronously check create deserialize error exception file item line list localvarresponse log method new null object parameter response return set string throw true type update value write
PROC0167,Assign a variable by calling a get function which proceeding a particular process,"Create current command. it performs actions like create, and get; focused on entities such as command, component, context, datum, element, file, instance, list, method, number, parameter, path, property, read, request, response, result, return, service, stream, string, type, user, and value; characterized as current, key, new, object.",command component context create current datum element file get instance key list method new number object parameter path property read request response result return service stream string type user value
PROC0168,Assign variable with multiple set functions,"Find create array. it performs actions like find, get, and give; focused on entities such as array, configuration, element, file, item, list, method, number, object, parameter, path, property, request, return, string, type, user, and value; characterized as create, current, key, new, node, set, split, true, variable.",array configuration create current element file find get give item key list method new node number object parameter path property request return set split string true type user value variable
PROC0169,Calling and get value through a reflection methods and conditional LINQ expression,"Add create action. it performs actions like add, call, get, and give; focused on entities such as action, builder, collection, function, instance, item, list, object, operation, property, response, result, return, set, source, state, type, update, and value; characterized as create, delete, dictionary, key, new, read, true.",action add builder call collection create delete dictionary function get give instance item key list new object operation property read response result return set source state true type update value
PROC0170,Error handling including bad request and general exception,"Add current check. it performs actions like add, call, create, give, modify, and set; focused on entities such as check, element, error, file, instance, item, list, log, message, object, request, response, return, string, task, type, and value; characterized as current, key, new, true, write.",add asynchronously call check create current element error exception file give instance item key list log message modify new object request response return set string task true type value write
PROC0171,Begin data transaction in predefined scope,"Begin current client. it performs actions like begin, create, execute, give, and return; focused on entities such as client, command, connection, content, context, database, file, instance, read, repository, request, resource, response, scope, source, stream, transaction, use, and xml; characterized as current, key, manifest, new, open, write.",begin client command connection content context create current database execute file give instance key manifest new open read repository request resource response return scope source stream transaction use write xml
PROC0172,Configure user interface components tab index in a form,"Bar close bar. it performs actions like bar, cancel, close, default, label, list, reset, set, tab, tabindex, text, and width; focused on entities such as bar, box, button, cancel, column, default, file, header, index, input, label, link, list, message, panel, picture, progress, radio, reset, result, set, tab, tabindex, table, text, title, user, and width; characterized as close, reset, set, tab, username.",bar box button cancel close column default file header index input label link list message panel picture progress radio reset result set tab tabindex table text title user username width
PROC0173,"Throw invalid argument exceptiom, invalid operation exception, object disposed exception","Create invalid argument. it performs actions like create, find, and give; focused on entities such as argument, argumentexception, exception, expression, file, format, index, invalidoperationexception, list, message, method, object, objectdisposedexception, parameter, property, range, return, string, throw, type, and value; characterized as invalid, key, new, null, set.",argument argumentexception argumentoutofrangeexception create exception expression file find format give index invalid invalidoperationexception key list message method new null object objectdisposedexception parameter property range return set string throw type value
